video_id,id,author_id,created_at,likert_scale_Q1,in_reply_to_user_id
167,65309,10627,2025-04-13,1,17181
167,55873,7132,2025-04-13,1,
167,69982,26657,2025-04-13,1,
167,12004,7132,2025-04-13,1,
167,2071,17181,2025-04-13,1,
167,31959,5735,2025-04-13,1,17181
167,61464,10627,2025-04-13,1,17181
167,22568,15621,2025-04-13,1,
167,6097,16403,2025-04-13,1,
167,50321,10627,2025-04-13,1,16403
167,8540,19716,2025-04-13,3,
167,37749,3110,2025-04-13,1,
167,29657,4860,2025-04-13,1,
167,44846,6684,2025-04-13,1,
167,45655,17452,2025-04-13,1,
167,40431,27985,2025-04-13,1,
167,40890,27006,2025-04-13,1,
167,6316,2016,2025-04-13,1,
167,43543,2016,2025-04-13,1,
167,14555,11363,2025-04-13,1,
167,48918,20407,2025-04-13,1,
167,27822,2940,2025-04-13,1,
167,29995,2940,2025-04-13,1,
167,22569,16488,2025-04-13,1,
167,41594,13320,2025-04-13,1,
167,53882,6069,2025-04-13,1,
167,37806,9288,2025-04-13,1,
167,20316,20583,2025-04-13,1,
167,2085,20545,2025-04-13,1,
167,24050,17483,2025-04-13,1,
167,65742,5896,2025-04-13,3,
167,39566,13231,2025-04-13,1,
167,12724,1420,2025-04-13,1,
167,52018,6777,2025-04-13,3,
167,44216,20583,2025-04-13,1,
167,34105,14173,2025-04-13,1,
167,59322,20583,2025-04-13,1,
167,42263,20583,2025-04-13,1,
167,45155,20583,2025-04-13,1,
167,26700,20583,2025-04-13,3,
167,47041,9094,2025-04-13,1,
167,70312,14266,2025-04-13,1,
167,24011,9130,2025-04-13,1,
